time	timeToRun	gaitStageR	gaitStageL	slipR	slipL	KneelingIndicator		gy/x/RThigh	gy/y/RThigh	gy/z/RThigh	ac/x/RThigh	ac/y/RThigh	ac/z/RThigh	Angle/RThigh		gy/x/RShank	gy/y/RShank	gy/z/RShank	ac/x/RShank	ac/y/RShank	ac/z/RShank	Angle/RShank		gy/x/RHeel	gy/y/RHeel	gy/z/RHeel	ac/x/RHeel	ac/y/RHeel	ac/z/RHeel	Angle/RHeel		gy/x/LThigh	gy/y/LThigh	gy/z/LThigh	ac/x/LThigh	ac/y/LThigh	ac/z/LThigh	Angle/LThigh		gy/x/LShank	gy/y/LShank	gy/z/LShank	ac/x/LShank	ac/y/LShank	ac/z/LShank	Angle/LShank		gy/x/LHeel	gy/y/LHeel	gy/z/LHeel	ac/x/LHeel	ac/y/LHeel	ac/z/LHeel	Angle/LHeel		gy/x/LowBack	gy/y/LowBack	gy/z/LowBack	ac/x/LowBack	ac/y/LowBack	ac/z/LowBack	Angle/LowBack		KneeAngleR	KneeAngleL	KneeTorqueR	KneeTorqueL
7.1809797286987305	3.9905996322631836	0	0	0	0	X		-0.14	-0.14	0.0	0.9000086400000001	-1.6587925200000002	-9.620039160000001	-1.4241432633592266		0.28	1.33	-0.35000000000000003	0.25372584000000004	-0.6438891600000001	-9.813924000000002	-3.571590364159608		-0.28	0.0	0.07	-0.21782124000000003	0.38058876	-9.801955800000002	8.010105783862409		0.35000000000000003	0.56	-0.28	-1.1489472	0.44761068000000004	9.722965680000001	3.566963321204655		-0.49000000000000005	-0.21000000000000002	1.2600000000000002	0.25611948	-0.34947144	9.76844484	7.176551728953918		0.14	-0.49000000000000005	0.7000000000000001	-0.016755480000000003	0.5266008000000001	-9.641581920000002	13.902734485727905		0.35000000000000003	-0.35000000000000003	0.0	-2.1447014400000004	-9.208333080000001	-2.4630555600000004	0		2.147447100800381	-3.6095884077492624	0	0
7.200206279754639	3.2030951976776123	0	0	0	0	X		-0.14	-0.28	0.0	0.9071895600000001	-1.6659734400000001	-9.632007360000001	-2.7792594793353245		0.21000000000000002	1.2600000000000002	-0.35000000000000003	0.23218308000000001	-0.6462828	-9.813924000000002	-4.43165459217634		-0.28	-0.14	-0.07	-0.21782124000000003	0.3710142	-9.789987600000002	15.103203918132808		0.07	0.42000000000000004	-0.28	-1.1609154000000002	0.4547916000000001	9.722965680000001	8.950058093558738		-0.49000000000000005	-0.28	1.33	0.26569404	-0.35904600000000003	9.770838480000002	5.025391288006777		0.35000000000000003	-0.49000000000000005	0.56	-0.009574560000000001	0.5289944400000001	-9.62722008	22.14710926086009		0.42000000000000004	-0.42000000000000004	0.07	-2.14709508	-9.229875840000002	-2.4510873600000003	0		1.6523951128410155	3.9246668055519613	0	0
7.223168849945068	0.023810386657714844	0	0	0	0	X		-0.14	-0.07	0.14	0.9167641200000001	-1.67076072	-9.612858240000001	-4.067079828231196		0.42000000000000004	1.54	-0.28	0.24415128000000003	-0.6343146000000001	-9.825892200000002	-5.255412688186286		-0.42000000000000004	-0.14	0.0	-0.21782124000000003	0.3710142	-9.79956216	21.83774724507602		0.0	0.35000000000000003	-0.21000000000000002	-1.1609154000000002	0.46436616000000003	9.73254024	14.072208838643114		-0.28	-0.21000000000000002	1.33	0.26569404	-0.35904600000000003	9.79477488	2.985141454429312		0.21000000000000002	-0.56	0.49000000000000005	-0.01436184	0.5361753600000001	-9.634401	29.978198233861505		0.49000000000000005	-0.49000000000000005	0.21000000000000002	-2.1494887200000004	-9.220301280000001	-2.45587464	0		1.1883328599550902	11.087067384213801	0	0
7.231922149658203	0.011328935623168945	0	0	0	0	X		-0.14	-0.07	0.14	0.9095832000000001	-1.6635798000000002	-9.612858240000001	-5.293114687557202		0.21000000000000002	1.33	-0.28	0.24415128000000003	-0.6319209600000001	-9.82349856	-6.038699707170161		-0.49000000000000005	-0.14	0.14	-0.21303396000000002	0.37819512000000005	-9.79477488	28.247193405449842		0.14	0.49000000000000005	-0.21000000000000002	-1.1489472	0.45000432000000007	9.727752960000002	18.939821485780005		-0.35000000000000003	-0.21000000000000002	1.33	0.26330040000000005	-0.34229052000000004	9.833073120000002	1.0138752010526022		-0.07	-0.49000000000000005	0.56	-0.02154276	0.52420716	-9.62722008	37.40030426323405		0.49000000000000005	-0.49000000000000005	0.14	-2.1590632800000003	-9.213120360000001	-2.4534810000000005	0		0.7455850196129585	17.925946284727402	0	0
7.243301153182983	0.011252880096435547	0	0	0	0	X		0.07	0.0	0.14	0.9071895600000001	-1.6563988800000002	-9.629613720000002	-6.458724908711448		0.35000000000000003	1.4000000000000001	-0.28	0.2513322	-0.64867644	-9.82349856	-6.786157520302866		-0.49000000000000005	-0.07	0.14	-0.22978944	0.37340784000000005	-9.797168520000001	34.32023537330811		0.21000000000000002	0.42000000000000004	-0.35000000000000003	-1.1609154000000002	0.45957888	9.72535932	23.563540012357343		-0.21000000000000002	-0.14	1.33	0.25611948	-0.35904600000000003	9.8378604	-0.844914321289137		0.07	-0.56	0.6300000000000001	-0.00718092	0.53138808	-9.634401	44.46218703581537		0.49000000000000005	-0.49000000000000005	-0.14	-2.1542760000000003	-9.21072672	-2.45587464	0		0.32743261159141746	24.408454333646482	0	0
7.25206732749939	0.008870601654052734	0	0	0	0	X		-0.07	-0.07	0.14	0.9143704800000001	-1.6635798000000002	-9.620039160000001	-7.569508797240289		0.42000000000000004	1.2600000000000002	-0.21000000000000002	0.23936400000000002	-0.6343146000000001	-9.825892200000002	-7.486628362486021		-0.35000000000000003	0.0	0.0	-0.22739580000000004	0.38298240000000006	-9.801955800000002	40.07888844570936		0.07	0.49000000000000005	-0.14	-1.1609154000000002	0.46675980000000006	9.727752960000002	27.964957718505936		-0.35000000000000003	-0.21000000000000002	1.4000000000000001	0.26808768000000005	-0.35186508000000005	9.8617968	-2.624038972161678		0.07	-0.49000000000000005	0.7000000000000001	-0.023936400000000004	0.5361753600000001	-9.6463692	51.16272786086366		0.49000000000000005	-0.49000000000000005	0.0	-2.1542760000000003	-9.217907640000002	-2.46066192	0		-0.08288043475426754	30.588996690667614	0	0
7.269776821136475	0.017674684524536133	0	0	0	0	X		0.0	-0.14	0.07	0.9095832000000001	-1.6563988800000002	-9.632007360000001	-8.626784405672822		0.35000000000000003	1.4000000000000001	-0.21000000000000002	0.24893856000000003	-0.6319209600000001	-9.813924000000002	-8.171325407527483		-0.35000000000000003	-0.14	0.21000000000000002	-0.22500216000000003	0.38058876	-9.801955800000002	45.551577366723606		0.0	0.49000000000000005	-0.28	-1.14415992	0.46436616000000003	9.72535932	32.14956841941305		-0.49000000000000005	-0.28	1.4700000000000002	0.26090676	-0.35904600000000003	9.857009520000002	-4.295656891938707		0.14	-0.42000000000000004	0.6300000000000001	-0.011968200000000002	0.5266008000000001	-9.636794640000002	57.53052570462236		0.21000000000000002	-0.21000000000000002	-0.07	-2.1447014400000004	-9.2274822	-2.4534810000000005	0		-0.45545899814533897	36.445225311351756	0	0
7.28460431098938	0.014713764190673828	0	0	0	0	X		-0.14	-0.21000000000000002	0.07	0.9071895600000001	-1.6683670800000001	-9.617645520000002	-9.629218194961396		0.28	1.12	-0.28	0.24654492000000003	-0.63670824	-9.825892200000002	-8.82334758005912		-0.49000000000000005	-0.14	0.14	-0.21542760000000002	0.37819512000000005	-9.789987600000002	50.756488416213735		0.07	0.49000000000000005	-0.28	-1.1633090400000001	0.46197252000000005	9.727752960000002	36.12434264210952		-0.56	0.0	1.33	0.27048132	-0.36143964000000006	9.864190440000002	-5.893125024839983		0.28	-0.35000000000000003	0.7000000000000001	-0.00718092	0.53138808	-9.634401	63.58679995619172		0.28	-0.28	0.07	-2.14709508	-9.215514	-2.46066192	0		-0.8058706149022754	42.0174676669495	0	0
7.306316137313843	0.021977901458740234	0	0	0	0	X		-0.14	-0.21000000000000002	0.07	0.9071895600000001	-1.6468243200000001	-9.62722008	-10.582832261042169		0.21000000000000002	1.1900000000000002	-0.28	0.25611948	-0.6391018800000001	-9.825892200000002	-9.451916763887473		-0.35000000000000003	-0.21000000000000002	0.21000000000000002	-0.22260852000000003	0.37580148	-9.789987600000002	55.69119397719176		0.07	0.28	-0.21000000000000002	-1.1585217600000002	0.45239796000000004	9.722965680000001	39.89933953700196		-0.28	-0.14	1.2600000000000002	0.26330040000000005	-0.35904600000000003	9.868977720000002	-7.389678035513911		0.21000000000000002	-0.42000000000000004	0.6300000000000001	-0.00718092	0.5289944400000001	-9.62722008	69.35931572530654		0.28	-0.28	0.07	-2.1423078	-9.21072672	-2.4582682800000004	0		-1.130915497154696	47.28901757251587	0	0
7.322091579437256	0.015535593032836914	0	0	0	0	X		0.0	-0.14	0.28	0.9143704800000001	-1.6587925200000002	-9.624826440000001	-11.487505369964191		-0.07	1.1900000000000002	-0.28	0.25372584000000004	-0.6343146000000001	-9.79956216	-10.05353296234454		-0.28	-0.21000000000000002	0.28	-0.22500216000000003	0.37819512000000005	-9.797168520000001	60.38753808625742		0.21000000000000002	0.42000000000000004	-0.21000000000000002	-1.1537344800000002	0.44521704000000006	9.73972116	43.481916741711906		-0.49000000000000005	0.0	1.33	0.26569404	-0.35186508000000005	9.871371360000001	-8.833599150068817		0.14	-0.49000000000000005	0.49000000000000005	-0.0047872800000000005	0.5289944400000001	-9.632007360000001	74.83975636472148		0.35000000000000003	-0.35000000000000003	-0.07	-2.1494887200000004	-9.21072672	-2.4510873600000003	0		-1.4339724076196507	52.31551589178072	0	0
